,id,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,funded_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp
0,571203,1,0,1,17,18000.0,18000.0,10.16,383.87,72804.0,16.73,0.0,0.0,21.0,340.6,60.0,8751.0,49.0,13263.18
1,694891,1,0,10,41,15675.0,15675.0,8.9,497.74,100000.0,9.1,0.0,0.0,16.0,361.5,36.0,20650.0,45.0,15294.25
2,784712,2,0,10,28,16500.0,16500.0,7.9,333.78,42000.0,10.43,0.0,0.0,9.0,370.3,60.0,2229.0,17.0,12966.64
4,974654,2,4,2,39,6400.0,6400.0,15.8,224.38,34000.0,32.4,0.0,47.0,6.0,313.6,36.0,4915.0,15.0,4430.59
6,1042871,7,0,2,4,6250.0,6250.0,7.51,194.45,33600.0,18.05,0.0,0.0,7.0,223.3,36.0,5174.0,10.0,2072.55
7,1055193,3,4,10,9,7300.0,7300.0,13.49,247.7,50000.0,19.06,0.0,0.0,8.0,218.5,36.0,12026.0,13.0,2554.6
8,1059509,1,0,2,39,20000.0,20000.0,17.27,499.96,80000.0,15.06,0.0,0.0,11.0,277.4,60.0,21592.0,30.0,13404.04
10,1065549,4,4,1,37,11200.0,11200.0,11.71,370.46,82000.0,19.08,0.0,0.0,9.0,292.2,36.0,24886.0,35.0,3529.42
11,1068335,2,0,8,25,15000.0,15000.0,12.42,501.23,150000.0,19.46,0.0,0.0,12.0,332.1,36.0,53514.0,27.0,4750.5
12,1070084,7,4,2,28,24000.0,24000.0,8.9,762.08,70000.0,9.87,0.0,0.0,11.0,291.1,36.0,15386.0,26.0,7325.96
15,1073807,5,0,2,9,21000.0,21000.0,8.9,666.82,98000.0,10.47,0.0,0.0,6.0,299.7,36.0,12954.0,23.0,15165.04
16,1074374,1,4,2,28,15000.0,15000.0,14.27,514.64,75000.0,6.53,0.0,0.0,6.0,248.0,36.0,15605.0,9.0,4852.17
17,1075164,2,4,10,4,25000.0,25000.0,11.71,826.9,120000.0,13.06,0.0,0.0,8.0,263.0,36.0,21412.0,25.0,7850.49
18,1076079,1,4,12,28,7000.0,7000.0,16.29,247.11,50000.0,11.57,0.0,0.0,8.0,216.0,36.0,17075.0,9.0,2301.16
19,1076701,1,0,10,9,25500.0,25500.0,13.49,586.62,51000.0,8.92,0.0,0.0,18.0,277.9,60.0,6295.0,31.0,17391.62
21,1078123,2,0,1,4,21675.0,21675.0,18.64,557.98,116000.0,13.25,1.0,14.0,7.0,362.9,60.0,21681.0,16.0,14659.72
23,1079344,4,4,1,4,10000.0,10000.0,6.03,304.36,70000.0,3.14,0.0,0.0,5.0,293.8,36.0,8851.0,9.0,3254.78
24,1080086,7,4,2,41,12000.0,12000.0,10.65,390.88,36982.0,18.66,0.0,0.0,8.0,280.8,36.0,14142.0,13.0,4099.87
25,1080703,3,3,1,29,5225.0,5225.0,12.69,118.06,15744.0,18.98,0.0,0.0,11.0,203.1,60.0,15706.0,12.0,3447.85
30,1085272,3,0,3,6,28000.0,28000.0,7.9,876.13,180000.0,7.6,0.0,81.0,13.0,348.3,36.0,202.0,23.0,13187.95
33,641849,2,4,2,12,13200.0,13200.0,18.49,480.47,110000.0,17.02,0.0,29.0,16.0,280.2,36.0,16062.0,36.0,10546.93
35,807342,1,0,5,32,21000.0,21000.0,6.62,644.78,121392.0,19.53,0.0,0.0,18.0,340.9,36.0,40721.0,37.0,15018.6
36,880114,0,4,2,28,5600.0,5600.0,9.99,180.67,75000.0,8.24,0.0,24.0,17.0,230.9,36.0,12188.0,33.0,4918.5
37,999547,11,4,2,4,16000.0,16000.0,10.16,517.48,155000.0,26.49,0.0,0.0,18.0,499.9,36.0,58888.0,35.0,11999.79
38,1034319,5,4,2,4,10800.0,10800.0,11.14,354.3,57000.0,18.32,0.0,30.0,9.0,323.8,36.0,21924.0,18.0,7307.12
39,1050240,2,0,1,27,5000.0,5000.0,6.62,153.52,33280.0,15.79,0.0,0.0,12.0,260.6,36.0,3188.0,21.0,1503.38
40,1058291,7,4,1,39,12000.0,7775.0,15.27,186.08,50000.0,5.5,0.0,0.0,13.0,253.4,60.0,7008.0,25.0,5125.4
42,1064860,11,0,1,27,4000.0,4000.0,14.65,137.98,24878.76,8.2,0.0,0.0,6.0,431.3,36.0,5741.0,11.0,1294.91
44,1069148,0,4,10,4,11000.0,11000.0,12.42,367.57,22000.0,9.11,1.0,22.0,7.0,232.1,36.0,5219.0,13.0,2275.27
45,1071186,2,4,2,18,7200.0,7200.0,16.29,254.17,88800.0,18.14,0.0,66.0,8.0,259.0,36.0,3246.0,16.0,2366.59
46,1072789,10,4,1,28,10400.0,10400.0,13.49,352.88,50000.0,14.47,0.0,0.0,11.0,234.9,36.0,15884.0,13.0,3343.73
47,1073395,6,4,2,4,21000.0,21000.0,19.91,555.33,42000.0,14.97,0.0,0.0,5.0,276.0,60.0,28632.0,12.0,14663.03
48,1074076,4,4,2,3,4000.0,4000.0,14.27,137.24,20500.0,19.26,0.0,0.0,6.0,428.0,36.0,10566.0,16.0,1299.05
55,1079026,5,4,2,4,1600.0,1600.0,15.96,56.22,72000.0,6.15,1.0,23.0,7.0,291.8,36.0,3086.0,29.0,391.67
56,1079681,3,4,2,4,20000.0,20000.0,19.42,523.45,110000.0,11.34,0.0,0.0,17.0,431.7,60.0,24449.0,28.0,13058.15
57,1080438,0,0,8,42,21850.0,21850.0,17.27,546.21,50000.0,24.83,0.0,0.0,14.0,310.7,60.0,14810.0,24.0,14941.49
58,1081000,4,4,2,9,21000.0,21000.0,18.25,536.13,51400.0,16.06,0.0,28.0,8.0,349.8,60.0,20658.0,30.0,13791.58
60,1082566,8,4,2,37,16000.0,16000.0,6.03,486.97,89000.0,17.53,0.0,0.0,10.0,353.7,36.0,15497.0,33.0,5202.56
61,1083417,4,0,10,19,10000.0,10000.0,6.62,307.04,55000.0,4.3,0.0,0.0,8.0,282.7,36.0,8835.0,15.0,3568.58
63,1086441,10,4,2,17,7200.0,7200.0,11.71,238.15,37000.0,12.82,0.0,32.0,8.0,347.6,36.0,6788.0,32.0,2479.56
64,1086976,3,4,2,4,11500.0,11500.0,6.62,353.1,60500.0,16.88,0.0,0.0,11.0,301.5,36.0,21309.0,39.0,3776.46
65,1088041,2,4,2,19,11700.0,11700.0,7.51,364.0,45000.0,0.0,0.0,0.0,7.0,213.5,36.0,0.0,9.0,3734.75
67,1089573,2,0,8,9,28000.0,28000.0,18.25,714.83,95000.0,17.46,0.0,0.0,7.0,444.9,60.0,2791.0,15.0,19730.69
68,1090260,7,3,3,17,7500.0,7500.0,18.25,272.09,70000.0,10.41,0.0,0.0,9.0,317.5,36.0,22616.0,21.0,2741.74
69,1091024,7,0,2,19,6500.0,6500.0,6.03,197.84,71500.0,10.43,0.0,0.0,11.0,388.5,36.0,22410.0,26.0,2114.58
70,1091767,7,3,2,16,3300.0,3300.0,6.62,101.33,47500.0,12.86,0.0,0.0,6.0,290.5,36.0,3273.0,15.0,1090.8
71,1092569,0,4,1,23,10000.0,10000.0,14.65,344.95,55000.0,16.76,0.0,0.0,14.0,250.6,36.0,10988.0,26.0,4132.48
72,1093164,1,4,1,25,16000.0,16000.0,6.03,486.97,155000.0,6.07,0.0,0.0,8.0,286.5,36.0,26635.0,27.0,5202.34
73,1094053,10,4,2,4,12000.0,12000.0,14.65,413.94,33324.0,14.93,0.0,0.0,6.0,224.4,36.0,16599.0,9.0,4242.33
74,1096010,5,4,1,3,10000.0,10000.0,14.27,343.09,90000.0,23.76,0.0,57.0,18.0,311.3,36.0,11359.0,40.0,3531.22
76,1097244,0,4,2,4,5300.0,5300.0,13.49,179.84,45600.0,3.76,0.0,46.0,5.0,236.5,36.0,4747.0,10.0,1883.08
77,1097604,6,0,2,23,20000.0,20000.0,16.29,706.01,92000.0,8.8,0.0,0.0,10.0,314.3,36.0,19212.0,11.0,7181.69
79,1098366,6,0,2,34,21000.0,21000.0,12.69,474.49,70000.0,20.85,0.0,0.0,15.0,246.4,60.0,8865.0,34.0,15121.56
80,1098778,1,0,1,33,16000.0,16000.0,7.9,500.65,72000.0,12.83,0.0,0.0,8.0,389.4,36.0,29952.0,36.0,5304.66
84,1100523,1,0,2,37,12000.0,12000.0,6.62,368.45,75000.0,10.2,0.0,0.0,9.0,294.3,36.0,14506.0,42.0,3929.61
86,1101327,5,4,2,21,12000.0,12000.0,11.71,396.92,35000.0,16.8,0.0,0.0,5.0,237.3,36.0,10641.0,12.0,4132.71
89,1103120,0,4,1,4,6575.0,6575.0,11.71,217.48,90000.0,7.13,0.0,0.0,6.0,246.3,36.0,10254.0,18.0,2270.43
90,1104084,11,3,2,37,16000.0,16000.0,6.03,486.97,60000.0,20.55,0.0,0.0,14.0,626.2,36.0,16048.0,31.0,5199.45
91,1104690,2,4,2,9,30000.0,30000.0,20.89,809.75,66996.0,18.18,0.0,50.0,9.0,301.2,60.0,12106.0,32.0,21114.73
92,1105214,1,0,2,19,15000.0,15000.0,7.9,469.36,78000.0,4.91,0.0,0.0,5.0,315.2,36.0,23185.0,10.0,4970.68
94,1106026,2,0,9,18,2000.0,2000.0,15.96,70.28,40000.0,15.03,0.0,0.0,8.0,203.2,36.0,10553.0,16.0,721.15
96,1107068,9,4,10,18,28000.0,28000.0,14.65,660.99,76000.0,20.54,0.0,0.0,11.0,228.2,60.0,13594.0,19.0,18736.71
97,1107506,0,4,2,17,9500.0,9500.0,10.65,309.45,42000.0,17.46,0.0,0.0,6.0,245.2,36.0,7672.0,18.0,3238.0
98,1108091,1,0,2,41,10000.0,10000.0,16.29,353.01,76500.0,19.29,0.0,0.0,11.0,263.2,36.0,20940.0,18.0,3588.5
101,1109597,9,4,2,19,13200.0,13200.0,8.9,419.15,50000.0,18.89,0.0,0.0,8.0,235.1,36.0,6836.0,13.0,4419.03
102,1110001,1,0,2,14,18000.0,18000.0,7.9,563.23,36000.0,9.4,0.0,0.0,12.0,279.1,36.0,14561.0,26.0,6486.81
105,1111595,6,0,2,12,6000.0,6000.0,12.42,200.5,91000.0,20.99,0.0,0.0,21.0,425.0,36.0,26434.0,37.0,2081.99
108,1113226,10,0,1,4,28000.0,28000.0,18.55,1020.01,160000.0,12.01,1.0,18.0,12.0,311.0,36.0,15969.0,29.0,11100.0
109,1113958,9,4,1,39,16000.0,16000.0,11.71,353.58,38985.0,24.53,0.0,0.0,14.0,347.0,60.0,16446.0,24.0,10451.1
