,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp,predicted_loan_status
1417,1,3,2,11,30000.0,20.49,803.02,115000.0,6.61,0.0,0.0,6.0,411.6,60.0,21756.0,32.0,0.0,good
2366,3,4,1,39,17475.0,13.11,589.73,84000.0,8.45,0.0,0.0,11.0,427.8,36.0,20604.0,19.0,0.0,good
9578,1,0,8,29,15000.0,16.24,366.69,70000.0,13.15,0.0,0.0,8.0,264.8,60.0,11683.0,21.0,0.0,good
4613,2,4,2,39,21000.0,16.29,513.93,92000.0,22.13,2.0,9.0,9.0,340.2,60.0,11102.0,28.0,0.0,good
4528,0,4,5,12,4000.0,6.62,122.82,97500.0,8.05,0.0,0.0,6.0,313.5,36.0,3148.0,17.0,0.0,good
4942,2,0,2,25,18000.0,12.12,598.89,75000.0,20.08,0.0,0.0,10.0,267.4,36.0,33627.0,15.0,0.0,good
5246,3,4,2,17,7000.0,16.29,247.11,46000.0,27.55,0.0,32.0,18.0,265.9,36.0,6671.0,53.0,0.0,good
3257,11,0,1,18,8000.0,7.62,249.3,43500.0,19.67,0.0,0.0,21.0,379.3,36.0,9136.0,45.0,0.0,good
3682,10,4,2,4,15000.0,7.62,467.43,75000.0,21.3,0.0,0.0,6.0,237.3,36.0,6702.0,31.0,0.0,good
415,11,3,3,37,12500.0,9.76,401.94,50000.0,7.15,0.0,0.0,8.0,377.9,36.0,8488.0,18.0,0.0,good
5306,3,0,10,9,7200.0,17.77,259.47,90000.0,14.64,1.0,15.0,12.0,291.7,36.0,6857.0,30.0,0.0,good
852,3,4,2,9,5000.0,11.14,164.03,52000.0,16.71,0.0,0.0,12.0,228.7,36.0,6590.0,25.0,0.0,good
3666,1,0,1,16,12000.0,10.74,391.39,112000.0,23.01,0.0,0.0,14.0,371.4,36.0,19667.0,48.0,0.0,good
2479,7,0,2,23,16750.0,16.29,409.92,38000.0,6.41,0.0,30.0,10.0,269.3,60.0,6324.0,19.0,0.0,good
331,3,4,1,4,6000.0,14.65,206.97,31000.0,7.16,1.0,22.0,6.0,189.2,36.0,6526.0,8.0,0.0,good
2815,1,4,2,4,11000.0,13.11,371.22,38000.0,7.89,0.0,0.0,3.0,279.1,36.0,9552.0,5.0,0.0,good
4004,2,0,2,28,20000.0,10.16,646.85,95000.0,9.84,0.0,83.0,8.0,385.4,36.0,13129.0,24.0,0.0,good
4674,1,0,2,12,15000.0,11.14,492.08,65000.0,22.19,0.0,27.0,24.0,379.8,36.0,34585.0,57.0,0.0,good
990,9,0,1,26,12000.0,14.09,410.66,68000.0,13.34,0.0,66.0,10.0,424.5,36.0,8116.0,39.0,0.0,good
522,5,4,1,39,12000.0,12.12,399.26,52000.0,22.92,0.0,36.0,12.0,284.7,36.0,14125.0,32.0,0.0,good
3195,11,0,2,10,13700.0,14.33,470.44,55000.0,32.92,0.0,0.0,15.0,305.0,36.0,19269.0,38.0,0.0,good
6232,4,4,1,29,10000.0,9.71,321.32,35000.0,13.82,0.0,0.0,8.0,343.3,36.0,10164.0,14.0,0.0,good
166,7,4,1,4,9600.0,14.65,331.15,70000.0,2.21,0.0,0.0,7.0,278.6,36.0,5879.0,8.0,0.0,good
8362,1,0,1,13,8400.0,17.56,301.83,58000.0,20.46,0.0,66.0,12.0,279.4,36.0,13115.0,32.0,0.0,good
4562,1,4,2,28,17000.0,12.12,379.19,50000.0,6.05,0.0,0.0,8.0,244.5,60.0,6551.0,15.0,0.0,good
846,1,0,5,32,4900.0,7.62,152.7,31872.0,14.19,0.0,0.0,20.0,320.7,36.0,12972.0,37.0,0.0,good
3616,7,0,3,9,21000.0,7.9,657.1,145000.0,8.03,0.0,0.0,10.0,361.1,36.0,23389.0,25.0,0.0,good
382,10,0,8,32,8000.0,6.03,243.49,65000.0,6.26,0.0,0.0,13.0,449.2,36.0,3388.0,35.0,0.0,good
802,7,4,2,17,12000.0,10.16,388.11,50000.0,10.78,0.0,0.0,11.0,274.0,36.0,9303.0,25.0,0.0,good
2249,1,0,2,34,35000.0,21.49,956.55,130500.0,23.18,0.0,0.0,21.0,363.3,60.0,50462.0,52.0,0.0,good
9186,1,0,2,16,5000.0,17.76,180.17,158000.0,15.95,3.0,5.0,26.0,471.1,36.0,23033.0,42.0,0.0,good
7237,10,4,2,4,5000.0,16.2,176.28,30000.0,26.88,0.0,0.0,4.0,255.9,36.0,1146.0,7.0,0.0,good
584,1,0,2,39,10000.0,10.74,326.16,90000.0,10.77,0.0,71.0,7.0,244.8,36.0,1550.0,26.0,0.0,good
388,1,0,2,42,12000.0,6.62,368.45,65000.0,16.28,0.0,0.0,9.0,343.2,36.0,12808.0,24.0,0.0,good
4496,10,0,8,4,20000.0,14.33,686.77,96000.0,7.35,2.0,14.0,7.0,328.8,36.0,13776.0,28.0,0.0,good
134,5,0,3,25,4000.0,6.03,121.75,115000.0,6.55,0.0,0.0,10.0,279.6,36.0,6544.0,16.0,0.0,good
229,11,4,10,4,10725.0,8.9,340.56,43200.0,7.03,0.0,0.0,6.0,238.7,36.0,8944.0,12.0,0.0,good
2828,10,0,3,4,15000.0,14.33,351.6,59600.0,21.52,0.0,0.0,7.0,258.0,60.0,4067.0,14.0,0.0,good
7747,2,0,6,41,35000.0,21.7,1331.25,89364.0,17.81,0.0,62.0,17.0,252.4,36.0,17445.0,35.0,0.0,good
1421,1,4,2,28,20000.0,14.33,468.8,75000.0,7.3,0.0,77.0,13.0,287.5,60.0,4776.0,22.0,0.0,good
186,4,0,2,39,13000.0,11.71,429.99,52200.0,23.67,0.0,0.0,16.0,211.3,36.0,17614.0,22.0,0.0,good
338,4,4,2,39,15000.0,12.12,499.08,61500.0,6.31,0.0,32.0,6.0,241.1,36.0,6744.0,20.0,0.0,good
9125,0,3,2,28,6000.0,17.1,214.22,50000.0,24.0,0.0,0.0,8.0,162.8,36.0,7603.0,10.0,0.0,good
7431,1,0,2,28,17825.0,18.55,457.99,67000.0,10.78,1.0,7.0,14.0,336.5,60.0,15259.0,44.0,0.0,good
985,6,0,1,4,12400.0,15.31,431.74,60665.0,10.82,0.0,0.0,9.0,267.5,36.0,17581.0,31.0,0.0,good
4709,1,0,2,37,16850.0,14.33,578.6,90000.0,16.27,0.0,28.0,13.0,387.6,36.0,15317.0,44.0,0.0,good
4184,6,0,2,29,7200.0,15.8,252.43,35000.0,18.82,0.0,0.0,11.0,221.0,36.0,11456.0,21.0,0.0,good
294,2,0,3,23,3500.0,6.62,107.47,67200.0,2.96,0.0,31.0,7.0,393.6,36.0,7426.0,35.0,0.0,good
5377,7,0,3,43,20000.0,6.03,608.72,97000.0,5.51,0.0,0.0,4.0,291.4,36.0,202.0,18.0,0.0,good
